ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,layer,path,net,emig,inmig,CONT,JOIN_ID,NODE,emig_m1,emig_f1,inmig_m1,inming_f1,TP,exoticas,sp_ex,nativas,nat_spp,proporcion,agemean,ntl00mean,ntl21mean,ntl_dif,tempmean,precipanua,imn_p,ntltrendme,ntl_count,ntl_hab
"178",PER,Peru,"22",Puno,Región,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,139022.000,"622","139644",,PER_21,,369,253,71523,68121,1172697.000000000000000,267.000000000000000,210.000000000000000,836.000000000000000,521.000000000000000,0.242067089755213,1607.504771958449055,0.214334385717855,1.860471983101279,1.646,8.709775562433562,1767.049544014050525,0.051352090798369,0.106180861493348,632.000000000000000,"0"
"178",PER,Peru,"24",Tacna,Región,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,17285.000,"55","17340",,PER_23,,33,22,8920,8420,329332.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,5.000000000000000,0.000000000000000,1559.104391394383356,0.716038071970275,2.665852292970937,1.950,12.606228074755309,232.146050589487629,0.099163345018672,0.127956855321660,330.000000000000000,"0"
"28",BOL,Bolivia,"2",Cochabamba,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,147633.000,"1036","148669",,BOL_301,,665,371,82287,66382,1762761.000000000000000,4951.000000000000000,1444.000000000000000,4418.000000000000000,1122.000000000000000,0.528444871384353,1586.837735696501795,0.706365348399247,3.054885122410546,2.349,16.497543778213412,1938.927261398740939,0.055937664847341,0.149790718721995,1506.000000000000000,"0"
"28",BOL,Bolivia,"3",El Beni,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,26165.000,"1058","27223",,BOL_800,,660,398,17434,9789,422008.000000000000000,4417.000000000000000,1249.000000000000000,5811.000000000000000,1451.000000000000000,0.431853734845522,1778.829087413641673,0.029026517913476,1.758879288523512,1.730,25.282164932872899,1839.572794240124722,0.064508255767663,0.083137693811566,926.000000000000000,"0"
"28",BOL,Bolivia,"4",La Paz,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,54878.000,"3551","58429",,BOL_200,,2059,1492,37012,21417,2719344.000000000000000,29730.000000000000000,3037.000000000000000,39482.000000000000000,2343.000000000000000,0.429549789053921,1644.154964507645673,0.244402632870609,1.714109518355840,1.470,16.084920688939008,1712.839468044960995,0.021486432021841,0.097624379248320,1080.000000000000000,"0"
"28",BOL,Bolivia,"5",Oruro,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,27535.000,"422","27957",,BOL_400,,281,141,16063,11894,828093.000000000000000,321.000000000000000,173.000000000000000,53.000000000000000,39.000000000000000,0.858288770053476,1578.175793599671806,0.140048985743892,1.374238522891415,1.234,8.451578621845288,773.003259170745082,0.033760700790853,0.084171949961739,393.000000000000000,"0"
"249",VEN,Venezuela,"12",Falcón,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,35314.000,"2193","37507",,VEN_11,,997,1196,20450,17057,1137324.000000000000000,80.000000000000000,40.000000000000000,518.000000000000000,265.000000000000000,0.133779264214047,1562.161706304465497,2.330939483052159,4.446989630088222,2.116,26.661953953929853,815.999114489466024,0.032978289388072,0.141023819974286,906.000000000000000,"0"
"249",VEN,Venezuela,"14",Lara,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,46254.000,"2500","48754",,VEN_13,,1003,1497,25205,23549,1137324.000000000000000,92.000000000000000,45.000000000000000,581.000000000000000,300.000000000000000,0.136701337295691,1575.330309437552160,4.155714538067479,6.209680268503798,2.054,24.399752531333988,998.497109638775441,0.042867291994190,0.143854569435687,1317.000000000000000,"0"
"249",VEN,Venezuela,"19",Portuguesa,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,45782.000,"1941","47723",,VEN_18,,1027,914,22341,25382,1063351.000000000000000,130.000000000000000,44.000000000000000,849.000000000000000,360.000000000000000,0.132788559754852,1626.534627145888408,3.117919826652221,5.749902491874324,2.632,26.406736843342820,2098.682661288718919,0.044879818611164,0.191869484024569,877.000000000000000,"0"
"12",ARG,Argentina,"3",Catamarca,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,1566.000,"2439","4005",,ARG_10,,1455,984,1935,2070,389256.000000000000000,3656.000000000000000,892.000000000000000,331.000000000000000,70.000000000000000,0.916980185603210,1628.640273365190296,0.262629206932891,1.365972331218189,1.103,9.722908296829576,381.686282675885366,0.010288858745915,0.082379000634207,965.000000000000000,"0"
"12",ARG,Argentina,"12",La Rioja,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,-324.000,"2802","2478",,ARG_46,,1521,1281,1355,1123,357516.000000000000000,1731.000000000000000,487.000000000000000,121.000000000000000,31.000000000000000,0.934665226781857,1598.259011197470954,0.289815565215256,1.407500184189199,1.118,15.030917526973868,364.566665863616549,0.006931158325781,0.083948094482300,929.000000000000000,"0"
"178",PER,Peru,"21",Piura,Región,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,53737.000,"1562","55299",,PER_20,,812,750,30777,24522,1856809.000000000000000,5.000000000000000,4.000000000000000,515.000000000000000,240.000000000000000,0.009615384615385,1543.276015433687917,0.703697550787925,4.119588950066454,3.416,21.268918771601747,545.558689926563147,0.029781738455598,0.235395895734844,1432.000000000000000,"0"
"249",VEN,Venezuela,"8",Cojedes,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,44303.000,"2019","46322",,VEN_8,,954,1065,23305,23017,1078934.000000000000000,1.000000000000000,1.000000000000000,50.000000000000000,43.000000000000000,0.019607843137255,1654.836285661110423,2.463930131004367,4.435342066957787,1.971,27.100556418776382,1572.409539034160844,0.042933117317649,0.207146824817877,364.000000000000000,"0"
"68",ECU,Ecuador,"1",Azuay,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,41539.000,"405","41944",,ECU_1,,215,190,22227,19717,712127.000000000000000,502.000000000000000,271.000000000000000,1958.000000000000000,490.000000000000000,0.204065040650407,1560.922800215463894,3.542208484331699,10.144212321466638,6.602,12.442635280547242,1617.868876491110768,0.186265454028705,0.375490153832896,1116.000000000000000,"0"
"68",ECU,Ecuador,"7",El Oro,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,23682.000,"4411","28093",,ECU_7,,2342,2069,16064,12029,600659.000000000000000,18.000000000000000,9.000000000000000,669.000000000000000,327.000000000000000,0.026200873362445,1550.130342488717588,4.036342321219227,11.825908558030481,7.790,21.223267893919015,1296.803002859953494,0.062572666972555,0.465208466584362,931.000000000000000,"0"
"68",ECU,Ecuador,"12",Loja,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,15210.000,"3323","18533",,ECU_11,,1694,1629,10563,7970,448966.000000000000000,61.000000000000000,31.000000000000000,3905.000000000000000,697.000000000000000,0.015380736258195,1546.278059232217856,1.022652230668817,5.983874683252708,4.961,18.424169539454159,1089.066214449304198,0.009981101987334,0.319664063121705,332.000000000000000,"0"
"178",PER,Peru,"25",Tumbes,Región,,,Tumbez,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,11248.000,"219","11467",,PER_24,,121,98,6010,5457,224863.000000000000000,13.000000000000000,9.000000000000000,337.000000000000000,179.000000000000000,0.037142857142857,1548.434301922216946,1.223529411764706,4.533823529411766,3.310,24.046160973668712,590.299081828995327,0.006175648653146,0.206924429496210,227.000000000000000,"0"
"249",VEN,Venezuela,"22",Trujillo,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,46233.000,"1943","48176",,VEN_21,,812,1131,24362,23814,2234763.000000000000000,312.000000000000000,49.000000000000000,1668.000000000000000,352.000000000000000,0.157575757575758,1578.625439836843043,5.823750391317960,7.382865490973600,1.559,21.297323862578661,1690.671576485383639,0.021557543238366,0.112940274837849,511.000000000000000,"0"
"249",VEN,Venezuela,"24",Yaracuy,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,38431.000,"1781","40212",,VEN_23,,853,928,21300,18912,2234763.000000000000000,133.000000000000000,52.000000000000000,607.000000000000000,279.000000000000000,0.179729729729730,1575.978173324742329,6.689515036575454,8.048089948523440,1.359,24.042333705029403,1351.677285722038278,0.017993854381874,0.107847607348402,606.000000000000000,"0"
